"dataset","system","mr_type","mr","sys_ref","TER","Bleu_1","Bleu_2","Bleu_3","Bleu_4","ROUGE_L","NIST","LEPOR","CIDEr","METEOR","sim.mr.sys","lev.dist","sys.read.flesch","sys.cpw","sys.ref.len","sys.wps","sys.sps","sys.spw","sys.n.poly","sys.pspw","n.misspel","parser.sc.mean","parser.sc.max","informativeness","naturalness","quality","domain","inf_bin","nat_bin","qual_bin","inf_bin2","nat_bin2","qual_bin2"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',area='X',area='X')","x is a restaurant in x near x and.",0.620689655,0.510003041,0.331256692,0.00000208,5.42E-009,0.418381344,2.1043,0.179968236,0.183180041,0.265789704,0.5540957,64,122.5,2.778,25,9,8,0.889,1,0.111,0,-81.5301193595,-81.5301193595,4,3,2,"REST","avg","avg","bad","Good+Avg","Good+Avg","Bad"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',area='X',food=Chinese)","x is a chinese restaurant near x and x in x near x.",0.4,0.712277753,0.663094501,0.529017815,0.406919409,0.761442441,4.3854,0.46961339,2.799781883,0.409304746,0.74722433,63,122.0553846154,2.923,38,13,11,0.846,1,0.077,0,-120.464399755,-120.464399755,4,1,4,"REST","avg","bad","avg","Good+Avg","Bad","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',area='X',food=Continental,food=French)","x is a restaurant in x providing french and continental food near x.",0.413793103,0.923076923,0.78446454,0.60711549,0.459950382,0.677025527,4.6084,0.659541476,2.901072809,0.403496918,0.75467646,73,83.0092307692,4.231,55,13,17,1.308,3,0.231,0,-122.3394302726,-122.3394302726,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',area='X',food=Indian)","x is a restaurant in x near x.",0.272727273,0.77218479,0.764264736,0.754524238,0.742088482,0.738754325,4.0632,0.564245958,2.101560836,0.453087078,0.70543593,68,124.69,2.75,22,8,7,0.875,1,0.125,0,-72.2283844352,-72.2283844352,3,4,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',area='X',food=Italian)","x is an italian restaurant in x near x and x.",0.2,0.909090909,0.852802865,0.827023044,0.807055727,0.916527546,5.0621,0.610869459,7.140162796,0.592213122,0.6108607,65,111.07,3.091,34,11,11,1,2,0.182,0,-102.6010269523,-102.6010269523,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Chinese)","x is a chinese restaurant near x.",0,1,1,1,1,1,8.2558,0.498435326,7.092321973,1,0.74132687,55,103.0442857143,3.714,26,7,8,1.143,1,0.143,0,-70.373510778,-70.373510778,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food='Chinese takeaway',food=Fusion)","x is a fusion restaurant that provides chinese takeaway near x.",0.4,0.909090909,0.674199862,0.369639411,0.0000501,0.710926119,4.4994,0.395370469,1.716913926,0.405102081,0.70659035,68,72.6154545455,4.727,52,11,16,1.455,2,0.182,1,-110.5992645621,-110.5992645621,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food='Chinese takeaway',food=Japanese)","x is a japanese restaurant that provides chinese takeaway near x and x.",0.4,0.783505528,0.650542682,0.562652882,0.471638128,0.541620422,5.1649,0.467896883,2.241626888,0.366899605,0.6080926,65,76.5015384615,4.462,58,13,18,1.385,3,0.231,1,-129.0837311149,-129.0837311149,6,6,2,"REST","good","good","bad","Good+Avg","Good+Avg","Bad"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Contemporary,food=English)","x is an english cafe food restaurant near x.",0.380952381,0.795412726,0.596559544,0.449774542,0.341306535,0.687600644,6.0057,0.452724652,1.447253516,0.375417306,0.7756535,72,94.3,3.889,35,9,11,1.222,1,0.111,0,-95.2068237662,-95.2068237662,4,4,5,"REST","avg","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Continental,food=French)","x is a french and continental restaurant near x.",0.095238095,0.888888889,0.881917103,0.873580465,0.863340021,0.888888889,4.1345,0.888888889,5.586160427,0.609013495,0.75853485,70,84.9,4.333,39,9,12,1.333,2,0.222,0,-85.7827057242,-85.7827057242,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Fastfood)","x is a fast food restaurant near x and.",0.125,0.888888889,0.881917104,0.873580465,0.863340021,0.951267057,7.7744,0.730730148,9.207851158,0.59965025,0.6732317,55,113.1,3.333,30,9,9,1,1,0.111,0,-84.9445938468,-84.9445938468,4,2,2,"REST","avg","bad","bad","Good+Avg","Bad","Bad"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=French)","x is a french and restaurant near x.",0.125,0.875,0.790569415,0.678604404,0.5,0.944690265,6.9672,0.580139174,2.79964051,0.540778542,0.74132687,54,114.115,3.5,28,8,8,1,1,0.125,0,-77.3456253409,-77.3456253409,2,2,2,"REST","bad","bad","bad","Bad","Bad","Bad"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Indian)","x is an indian restaurant near x and x.",0.555555556,0.777777778,0.440958552,0.00000303,8.25E-009,0.555555556,3.296,0.582010042,1.196221629,0.329362393,0.6302157,54,103.7,3.333,30,9,10,1.111,2,0.222,0,-88.6196884513,-88.6196884513,3,4,5,"REST","avg","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Indian,food='Indian takeaway')","x is an indian restaurant near x.",0.347826087,0.564718122,0.564718122,0.476301711,0.417938171,0.747810858,4.1967,0.220335877,2.199072463,0.370382285,0.7369903,78,90.9585714286,3.714,26,7,9,1.286,2,0.286,0,-72.8390259147,-72.8390259147,3,4,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Italian)","x is an italian restaurant near x.",0,1,1,1,1,1,8.4458,0.857142857,9.170264355,1,0.74132687,55,90.9585714286,3.857,27,7,9,1.286,2,0.286,0,-71.4015564322,-71.4015564322,5,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Italian,food='Takeaway pizza')","x is an italian restaurant near x.",0.210526316,0.8668779,0.866877899,0.731153137,0.641561427,0.835616438,3.944,0.670880695,2.389197769,0.440906106,0.71078616,76,90.9585714286,3.857,27,7,9,1.286,2,0.286,0,-71.4015564322,-71.4015564322,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',food=Seafood)","x is a seafood restaurant near x.",0,1,1,1,1,1,9.2064,0.360442019,7.21952233,1,0.75443435,55,103.0442857143,3.714,26,7,8,1.143,1,0.143,0,-69.6616348624,-69.6616348624,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',near='X',area=riverside,area='X')","x is a restaurant in the riverside and the x area near x and x.",0.2,0.933333333,0.856348839,0.733644002,0.63688529,0.832764505,5.2312,0.553773065,2.252464221,0.515858971,0.6666667,76,95.73,3.2,48,15,17,1.133,3,0.2,0,-119.6822418571,-119.6822418571,5,4,4,"REST","good","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',near='X',food='Cafe food',food=English)","x is an english restaurant that serves english food.",0.428571429,0.533824935,0.400368701,0.332236572,0.264496722,0.491143317,5.1824,0.111886036,1.024720301,0.248140084,0.687349,78,84.9,4.778,43,9,12,1.333,1,0.111,0,-83.7140640616,-83.7140640616,4,3,3,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',near='X',food=Chinese)","x is a chinese restaurant near x.",0.315789474,0.644123394,0.635114231,0.623595797,0.608025321,0.733466934,6.9713,0.416079836,4.932340361,0.490918184,0.76719415,64,103.0442857143,3.714,26,7,8,1.143,1,0.143,0,-70.373510778,-70.373510778,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',near='X',food='Chinese takeaway',food=Japanese)","x is a japanese restaurant near x and x.",0.275862069,0.641180388,0.641180388,0.609066389,0.557468995,0.792207792,5.4184,0.226183071,2.341287896,0.407636342,0.60628,85,103.7,3.444,31,9,10,1.111,2,0.222,0,-86.154180944,-86.154180944,5,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',near='X',food=French)","x is a french restaurant near x.",0.222222222,0.751477293,0.686001775,0.656475883,0.631914562,0.855711423,6.9879,0.512407817,7.594826687,0.490918184,0.76719415,64,115.13,3.571,25,7,7,1,1,0.143,0,-68.7696823478,-68.7696823478,5,5,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',pricerange=cheap)","x is a cheap restaurant in the expensive price range near x.",0.555555556,0.833333333,0.674199862,0.514714249,0.417226145,0.767295597,4.0755,0.285594267,2.911701231,0.481947898,0.73830175,59,95.955,4,48,12,14,1.167,2,0.167,0,-95.9333862662,-95.9333862662,3,3,2,"REST","avg","avg","bad","Good+Avg","Good+Avg","Bad"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',pricerange=expensive)","x is a restaurant near x in the expensive price range.",0.315789474,0.747082404,0.69102318,0.623366993,0.536655198,0.776520509,2.8584,0.676759534,2.033465262,0.459490429,0.6775917,64,95.6881818182,3.909,43,11,13,1.182,2,0.182,0,-78.3223022819,-78.3223022819,6,4,5,"REST","good","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',pricerange=expensive,area=citycentre)","x is an expensive restaurant near x and in the centre of town.",0.357142857,0.923076923,0.832050294,0.722801826,0.62341813,0.725231176,4.1038,0.58907934,2.859088158,0.52964588,0.55393016,69,89.5169230769,3.769,49,13,16,1.231,2,0.154,0,-92.8685516715,-92.8685516715,6,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',pricerange=expensive,food=Chinese)","x is a restaurant near x providing expensive food.",0.625,0.666666667,0.5,0.329316878,0.0000494,0.59454191,3.3413,0.521640915,0.949944118,0.390960638,0.5301599,62,75.5,4.556,41,9,13,1.444,3,0.333,0,-78.2053665519,-78.2053665519,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,near='X',pricerange=moderate,food=Indian,food='Indian takeaway')","x is an indian restaurant near x.",0.756756757,0.148391562,0.101370735,0.000000753,2.17E-009,0.296476306,0.3963,0.055756117,0.119130458,0.203697963,0.70313454,98,90.9585714286,3.714,26,7,9,1.286,2,0.286,0,-72.8390259147,-72.8390259147,4,6,6,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=cheap)","x is a cheap restaurant in the cheap price range.",0.142857143,0.9,0.948683298,0.923457375,0.866025404,0.956445993,6.5737,0.177531245,5.200804648,0.543010615,0.6955293,51,103.625,3.9,39,10,11,1.1,1,0.1,0,-68.0265488029,-68.0265488029,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=cheap,area=citycentre)","x is a restaurant in the centre of town.",0.347826087,0.777777778,0.697216689,0.65247794,0.610473583,0.777777778,2.5071,0.642426963,0.578472873,0.343093965,0.4927769,65,94.3,3.444,31,9,11,1.222,1,0.111,0,-54.8665489554,-54.8665489554,4,5,4,"REST","avg","good","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=cheap,area=citycentre,near='X')","x is a cheap restaurant in the city centre near x.",0.642857143,0.622882134,0.435522863,0.317776529,0.0000418,0.598773006,3.2901,0.391697,0.487628337,0.328911817,0.650204,61,95.6881818182,3.545,39,11,13,1.182,1,0.091,0,-88.4596008658,-88.4596008658,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=cheap,area=riverside,food=Fastfood)","x is a cheap restaurant in the cheap price range in the riverside area.",0.72,0.5,0.33968311,0.212645185,0.0000306,0.447432763,2.8676,0.306234968,0.239372922,0.309184315,0.72801465,69,77.8107142857,4.071,57,14,19,1.357,3,0.214,0,-94.6876892447,-94.6876892447,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=cheap,area=riverside,food=Indian)","x is an indian restaurant in the riverside area.",0.3,0.888888889,0.816496581,0.724920248,0.660632863,0.819774418,5.2893,0.634544523,3.004312226,0.436228024,0.68570244,69,47.3,4.333,39,9,16,1.778,4,0.444,0,-70.9429001212,-70.9429001212,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=cheap,area=riverside,near='X')","x is a cheap restaurant in the riverside near x.",0.090909091,0.904837418,0.904837418,0.865445856,0.804526875,0.944272446,7.8767,0.676363501,6.208743994,0.516121044,0.7315933,60,95.165,3.8,38,10,12,1.2,2,0.2,0,-84.6515411735,-84.6515411735,5,6,4,"REST","good","good","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=cheap,near='X')","x is a cheap restaurant in the expensive price range near x.",0.2,0.916666667,0.866025404,0.721124785,0.451801002,0.876436782,5.2853,0.290164372,3.310353122,0.509536168,0.73830175,57,95.955,4,48,12,14,1.167,2,0.167,0,-95.9333862662,-95.9333862662,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive)","x is a restaurant in the expensive price range.",0,1,1,1,1,1,7.2711,0.689026108,7.380742677,1,0.6955293,55,84.9,4.222,38,9,12,1.333,2,0.222,0,-58.0114540458,-58.0114540458,5,2,6,"REST","good","bad","good","Good+Avg","Bad","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area=riverside)","x is a restaurant in the riverside area.",0.551724138,0.413320734,0.373438549,0.280026238,0.213415682,0.519886364,0.5308,0.254828707,0.296672979,0.26187172,0.65429634,66,61.24,4,32,8,13,1.625,3,0.375,0,-54.9134621024,-54.9134621024,4,5,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area=riverside,area='X',food=Italian)","x is an italian restaurant near x.",0.5,0.349672614,0.337815839,0.322428662,0.300964413,0.50247117,0.9749,0.23226389,1.254526379,0.269652229,0.66777277,91,90.9585714286,3.857,27,7,9,1.286,2,0.286,0,-71.4015564322,-71.4015564322,4,6,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area=riverside,food=Indian)","x is an indian restaurant in the riverside area that serves indian food.",0.583333333,0.549638763,0.504529044,0.418863595,0.328667309,0.75192604,3.1782,0.356106925,1.170636719,0.425588316,0.6846323,75,50.4707692308,4.538,59,13,22,1.692,5,0.385,0,-110.6734375358,-110.6734375358,4,4,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area=riverside,near='X')","x is an expensive restaurant in the riverside area near x.",0.56,0.727272727,0.467099366,0.00000289,7.42E-009,0.487869901,3.2634,0.439764813,0.839266401,0.330454444,0.77272725,67,64.9245454545,4.273,47,11,17,1.545,4,0.364,0,-94.3340973258,-94.3340973258,6,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area='X')","x is an expensive restaurant in the x area.",0,1,1,1,1,1,8.1603,1,10,1,0.65,59,75.5,3.778,34,9,13,1.444,3,0.333,0,-67.3119949698,-67.3119949698,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area='X',food=Continental,food=French)","x is a french and continental restaurant in the x area.",0.222222222,1,0.948683298,0.843432665,0.688724654,0.818181818,3.3226,0.81144785,3.239950665,0.453523917,0.670489,88,72.6154545455,4,44,11,16,1.455,3,0.273,0,-85.7616409659,-85.7616409659,5,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area='X',near='X')","x is an expensive restaurant in the x area near x.",0,1,1,1,1,1,7.6732,0.478007821,5.023061954,1,0.77272725,64,87.9972727273,3.545,39,11,14,1.273,3,0.273,0,-95.8178314567,-95.8178314567,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,area='X',near='X',near='X')","x is an expensive restaurant in x near x and x.",0.142857143,0.833752918,0.74573128,0.676140488,0.599141704,0.903095559,6.3422,0.36759164,3.705731671,0.482224857,0.58729386,75,111.07,3.273,36,11,11,1,2,0.182,0,-98.5325226188,-98.5325226188,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,near='X')","x is an expensive restaurant in the expensive price range.",0.555555556,0.814353676,0.858404146,0.835578787,0.78361219,0.755417957,4.8004,0.351219977,4.257399322,0.398301549,0.6775917,56,69.785,4.8,48,10,15,1.5,3,0.3,0,-68.5349335074,-68.5349335074,5,4,4,"REST","good","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,near='X',food=Italian)","x is an expensive restaurant near x.",0.210526316,0.7430382,0.732645545,0.719358282,0.701396727,0.79049676,4.6001,0.670880695,3.33101065,0.459929973,0.7016091,75,90.9585714286,4.143,29,7,9,1.286,2,0.286,0,-67.3330520988,-67.3330520988,4,6,4,"REST","avg","good","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,near='X',near='X')","x is an expensive restaurant in the expensive price range.",0.56,0.736857678,0.684999293,0.621537194,0.538755134,0.679665738,4.0963,0.221068431,2.011778436,0.351279839,0.6632416,61,69.785,4.8,48,10,15,1.5,3,0.3,0,-68.5349335074,-68.5349335074,3,3,4,"REST","avg","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,near='X',near='X',area='X')","x is an expensive restaurant in the x area near x and x.",0.214285714,0.846153846,0.702559423,0.607642043,0.509349841,0.846047157,3.2476,0.612947531,3.216917306,0.521653108,0.625,74,96.0246153846,3.308,43,13,15,1.154,3,0.231,0,-111.5984939933,-111.5984939933,5,5,4,"REST","good","good","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=expensive,near='X',near='X',food=Italian)","x is an expensive italian restaurant near x.",0.451612903,0.472366553,0.35707555,0.215716172,0.0000312,0.606534091,2.5254,0.126023693,0.999171116,0.314021533,0.7643285,82,71.815,4.5,36,8,12,1.5,3,0.375,0,-81.652113378,-81.652113378,4,5,6,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate)","x is a restaurant in the moderate price range.",0,1,1,1,1,1,7.6487,0.696027651,6.924212862,1,0.6955293,54,84.9,4.111,37,9,12,1.333,2,0.222,0,-57.8471168876,-57.8471168876,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate,area=riverside,food=Indian,food='Indian takeaway')","x is a moderately priced indian restaurant in the riverside area which serves indian food in the moderate price range in the riverside area.",0.75862069,0.583333333,0.551677284,0.517188875,0.493449467,0.695614035,5.3847,0.230215649,1.095365592,0.450026834,0.7599586,108,34.425,4.833,116,24,42,1.75,9,0.375,0,-182.4452881217,-182.4452881217,5,4,4,"REST","good","avg","avg","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate,area='X')","x is a moderately priced restaurant in the x area.",0.4,0.904837418,0.853088899,0.743840322,0.480261658,0.647214854,3.4585,0.580565937,1.339322039,0.376282447,0.5474808,58,69.785,4,40,10,15,1.5,3,0.3,0,-75.0402740836,-75.0402740836,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate,area='X',area='X')","x is a restaurant in the x area.",0.52173913,0.584100587,0.509844791,0.466040993,0.421395295,0.579113924,2.0914,0.415442249,0.116682272,0.26301314,0.625,70,92.965,3,24,8,10,1.25,2,0.25,0,-56.7885155082,-56.7885155082,5,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate,area='X',area='X',food=Indian)","x is an indian restaurant in the x area.",0.416666667,0.71176658,0.653799352,0.527392683,0.44482869,0.704184704,3.7693,0.460899981,2.253226621,0.343056805,0.6551387,81,75.5,3.444,31,9,13,1.444,3,0.333,0,-72.8179611564,-72.8179611564,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate,area='X',food=Contemporary,food=English)","x is an english restaurant in the x area which serves expensive food in the moderate price range located in x.",0.75862069,0.666666667,0.577350269,0.497058755,0.37824046,0.515492958,4.2196,0.115433822,1.033178899,0.383235958,0.73577297,97,68.6914285714,4.238,89,21,29,1.381,5,0.238,0,-167.8515076041,-167.8515076041,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate,area='X',food=Indian)","x is an indian restaurant in the x area.",0.709677419,0.510003041,0.42765055,0.355611277,0.304531801,0.510155317,1.8854,0.252724506,0.590209057,0.275045544,0.6393285,73,75.5,3.444,31,9,13,1.444,3,0.333,0,-72.8179611564,-72.8179611564,5,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,eattype=restaurant,pricerange=moderate,area='X',food=Italian)","x is an italian restaurant in the x area.",0.4,0.800737403,0.800737403,0.800737403,0.76505878,0.75308642,4.3471,0.451682292,3.580748765,0.372541674,0.6393285,72,75.5,3.556,32,9,13,1.444,3,0.333,0,-71.3804916739,-71.3804916739,4,5,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,near='X',area=citycentre,eattype=restaurant)","x is a restaurant in the city centre near x.",0.173913043,0.814353676,0.80931119,0.803408764,0.796358031,0.849845201,3.7737,0.710112055,3.85735324,0.594407089,0.62615585,58,95.165,3.4,34,10,12,1.2,1,0.1,0,-79.0949539542,-79.0949539542,5,5,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,near='X',area=riverside,area=citycentre,eattype=restaurant)","x is a restaurant in the centre of town and riverside near x.",0.205128205,0.725495624,0.643968318,0.609359062,0.584102593,0.775722543,0.9505,0.647361492,2.086022323,0.464072366,0.6891821,74,89.5169230769,3.692,48,13,16,1.231,2,0.154,0,-100.1368240714,-100.1368240714,4,5,5,"REST","avg","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,near='X',area=riverside,eattype=restaurant)","x is a restaurant in the riverside area near x.",0,1,1,1,1,1,6.4898,0.524616434,5.671127855,1,0.8125,56,78.245,3.7,37,10,14,1.4,3,0.3,0,-83.8106293082,-83.8106293082,5,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,near='X',area='X',area='X',eattype=restaurant)","x is a restaurant in x near x and x.",0.2,1,0.942809041,0.822070691,0.698534206,0.8,5.9958,0.76692941,4.933977432,0.524819832,0.5540957,68,129.005,2.6,26,10,8,0.8,1,0.1,0,-88.0090546012,-88.0090546012,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,near='X',area='X',eattype=restaurant)","x is a restaurant in x near x and.",0.285714286,0.795412726,0.666973847,0.554619703,0.474954953,0.834188034,3.6754,0.62770974,0.838206872,0.423375412,0.56083626,59,122.5,2.778,25,9,8,0.889,1,0.111,0,-81.5301193595,-81.5301193595,5,3,5,"REST","good","avg","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,near='X',area='X',eattype=restaurant,pricerange=expensive)","x is an expensive restaurant in the x area near x.",0.153846154,1,1,1,1,0.909090909,3.9911,0.772192093,6.068125823,0.624824699,0.77272725,73,87.9972727273,3.545,39,11,14,1.273,3,0.273,0,-95.8178314567,-95.8178314567,6,6,5,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
"BAGEL","Dusek","inform","inform(name='X',type=placetoeat,near='X',eattype=restaurant)","x is a restaurant near x.",0.166666667,0.833333333,0.816496581,0.793700526,0.759835685,0.833333333,5.931,0.613362943,2.57832787,0.574547859,0.71428573,50,116.145,3.167,19,6,6,1,1,0.167,0,-56.8095802665,-56.8095802665,6,6,6,"REST","good","good","good","Good+Avg","Good+Avg","Good+Avg"
